id,sentiment,acara_tv,jumlah_retweet,text_tweet,clean_text
1,positive,HitamPutihTransTV,12,"Undang @N_ShaniJKT48 ke hitamputih, pemenang SSK JKT48 harusnya mJKT48 ini lebih Layak di Undang karena prestasinya",undang hitamputih menang ssk jakarta mjkt layak undang prestasi
2,positive,HitamPutihTransTV,6,Selamat berbuka puasa Semoga amal ibadah hari ni diterima Allah #hitamputih,selamat buka puasa moga amal ibadah ni terima allah
3,positive,HitamPutihTransTV,9,"Ada nih di trans7 hitam putih, dia dpt penghargaan juga di norwegia #hitamputih",nih trans hitam putih harga norwegia
4,positive,HitamPutihTransTV,2,selamat ya mas @adietaufan masuk hitamputih,selamat ya mas masuk hitamputih
5,positive,HitamPutihTransTV,1,Asiknya nonton Hitam Putih Trans7,asiknya nonton hitam putih trans
6,positive,HitamPutihTransTV,2,@TRANS7 acara paling komplit dan menarik apalagi ada hitam putih,acara komplit tarik hitam putih
7,positive,HitamPutihTransTV,1,hitam putih T7 inspiratif banget,hitam putih t inspiratif banget
8,positive,HitamPutihTransTV,3,Suka banget dengan acara hitam putih,suka banget acara hitam putih
9,positive,HitamPutihTransTV,0,Keren lu bro #HitamPutihTrans7,keren bro
10,positive,HitamPutihTransTV,15,"Tadi ada yg liat hitam putih di trans7 ga, Ada sanggu ganteng",lihat hitam putih trans sanggu ganteng
11,positive,HitamPutihTransTV,2,cinta mengikat silaturahmi di hati ... #LunaMaya #hitamputihtrans7 .... https://www.instagram.com/p/BTqszJ3jO9A/,cinta ikat silaturahmi hati
12,positive,HitamPutihTransTV,10,Terima kasih pak.... Sudah mau membantu kami untuk menyekolahkan adik saya.... #hitamputihtrans7,terima kasih bantu sekolah adik
13,positive,HitamPutihTransTV,2,Semoga lancar hitamputihtrans7,moga lancar hitamputihtrans
14,positive,HitamPutihTransTV,1,Trans7 Hitam Putih terbaik https://www.instagram.com/p/BTYyTXMgVKd/,trans hitam putih baik
15,positive,HitamPutihTransTV,9,Acara hitam putih paling bagus buat di lihat,acara hitam putih bagus lihat
16,positive,HitamPutihTransTV,4,"@TRANS7 undang @DA3_Rafly di acara hitam putih ya,dia jebolan dangdut academi pinter nyanyi lagu india suaranya keren",undang acara hitam putih yadia jebol dangdut academi pintar nyanyi lagu india suara keren
17,positive,HitamPutihTransTV,12,"Bagus Rancangan Seperti ini di TRANS7 HitamPutih, Sambil2 Dakwah Hiburannya. Terima kasih Ustadz Wijayanto...",bagus rancang trans hitamputih dakwah hibur terima kasih ustadz wijayanto
18,positive,HitamPutihTransTV,3,"Wah kapan Rihanna bisa jadi bintang tamu Hitam Putih kayak di @ASAL_Trans7. jadi kangen, kapan tayang lagi di @TRANS7?",rihanna bintang tamu hitam putih kangen tayang
19,positive,HitamPutihTransTV,0,Terimakasih telah menonton Hitam Putih malam ini. Semoga dapat menginspirasi dan dapat memberikan pelajaran utk Sobat7. #RafatharonHP,terimakasih tonton hitam putih malam moga inspirasi ajar sobat
